element_idx,summarized_text,keywords
94,"Attention Mechanism Comparison . In detail, we use the Swin-T as backbone and only change the self-attention mechanism . The results are reported in Table 9 .","cswin, self-attention, swin-t"
100,"In Table 10, we compare our LePE with other recent positional encoding mechanisms for image classification, object detection and image segmentation . Besides, we test the variants without positional encode and CPE*, which is obtained by applying CPE before every Transformer block .","encoding, image, segmentation, cswin-t, positional"
103,the mathematical analysis allows us to increase the stripe width along the network depth . We further introduce locally-enhanced positional encoding into CSWin Transformer for downstream tasks .,"cswin, transformer, vision, tasks"
105,"Iz Beltagy, Matthew E Peters, and Arman Cohan. Longformer: The long-document transformer . arXiv preprint arxiv:2004.05150, 2020 . 3 Zhaowei Cai and Nuno Vasconcelos. Cascade r-cnn","transformer, vision, long-scale, long-document"
106,"Xiangxiang Chu, Zhi Tian, Bo Zhang, Xinlong Wang, xiaolin Wei, and Chunhua Shen . Do we really need explicit position encodings for vision transformers? arXiv preprint arxiv:2102.","mobile, transformers, vision"
107,"In Proceedings of the IEEE conference on computer vision and pattern recognition, pages 4700-4708, 2017. 2 Gao Huang, Yu Sun, Zhuang Liu, Daniel Sedra, and Kilian Q Weinberger. Deep networks with stochastic depth. In European conference on Computer Vision, pages 646-661. Springer","vision, design, network, transformer, computer"
108,"Irwan Bello, Ashish Vaswani, Anselm Levskaya, and Jonathon Shlens. Standalone self-attention with routing transformers. Transaction of the Association for Computational Linguistics, 9:53-68, 2021. 3, 8 Aurko Roy,","sequence, visual, long-range, vision, backbones, computer"
110,"ArXiv preprint arxiv:2103.14031, 2021 . 2, 5, 6, 7, 12, 13 Yuqing Wang, Zhaoliang Xu, Xinlong Wang, Chunhua Shen, Baoshan Cheng, Hao Shen . Aggregated residual","transformer, vision, computer"
111,"Zhun Zhong, Liang Zheng, Guoliang Kang, Shaozi Li, and Yi Yang . Random erasing data augmentation, 2017. 12 Bolei Zhou, Hang Zhao, Xavier Puig, Sanja Fidler, Adela Barriuso, and Antonio Tor","transformers, ade20k, dataset"
114,ImageNet-1K Classification follows the training strategy in DeiT . We use the AdamW optimizer with weight decay of 0.05 for CSWin-T/S . The default batch size is set to 2048 and 2e - 3 respectively .,"optimizer, modelling, size, depth, stochastic, learning, rate, adamw, batch, dynamic, default"
117,"Mask R-CNN is based on the implementation from mmdetection . For 1x schedule, we train the model with single-scale input for 12 epochs . We use Adam W optimizer with a learning rate of 0.0001, weight decay of 0.05 and batch size of 16 ","cswin-s, mask, imagenet-1k, cascade, r-cnn"
118,UperNet and Semantic FPN are semantic segmentation frameworks . We follow the setting in and use AdamW optimizer with initial learning rate 6e-5 weight decay of 0.01 and batch size of 16 for 160K iterations .,"optimizer, upernet, segmentation, adamw, semantic"
119,"augmentation setting in mmsegmentation including random horizontal flipping, random re-scaling and random photo-metric distortion . All the models are trained with input size 512 x 512. The stochastic depth is set to 0.2, 0.4, 0.6 for CSWin-T","photometric, augmentation, distortion, flipping, random, setting, horizontal"
