element_idx,summarized_text,keywords
93,"Input Parameters of MSG Tokens To further understand the role MSG tokens play in Transformers, we study impacts caused by parameters of input MSG tokens . In Row 2 of Tab. 5, we randomly re-initialize parameter of input CLS tokens for evaluation, which are learn","input, transformers, tokens, parameters, msg"
94,the proposed MSG tokens play a different role than conventional CLS tokens . The input parameters of their own matter little in latter information delivering as they absorb local features layer by layer via attention computing .,"cls, tokens, patch, conventional"
95,"Swin- and MSG-Transformer scales are evaluated as follows . As shown in Tab. 6, two scales were evaluated where one is shallow and wide . One is deep and narrow with 64 dimension and blocks .","scales, msg-transformer, network"
103,"In Swin Transformer, each patch token is involved in two different windows between layers . This requires a wider channel dimension with more attention heads to support the variety . MSGTransformer uses MSG tokens to extract window-level information and transmit to patch tokens .","patch, deeper-narrower, tokens, scale"
104,"Shuffle Region Sizes We study the impacts of shuffle region sizes on the final performance . As shown in Tab. 7, the final accuracy increases with the region enlarged . It is reasonable that larger receptive fields are beneficial for tokens capturing substantial spatial information.","size, shuffle, final, accuracy, region"
105,"Attention Map Visualization of MSG Tokens We visualize attention maps computed between each MSG token and its associated patch tokens within the local window in different blocks . The local window size to the token features is constant, i.e. 7 in our settings .","window, tokens, attention, maps, local"
108,"This paper proposes MSG-Transformer, a novel Transformer architecture . The core innovation is to introduce the MSG token which serves as the hub of collecting and propagating information . Our approach achieves competitive performance on standard image classification and object detection tasks with reduced implementation difficulty .","exchange, msg-transformer, infor-, architecture, mation, transformer"
109,"Limitations We would analyze limitations from the perspective of the manipulation type for MSG tokens . Although shuffling is an efficient communication operation, the specificity of shuffled tokens is not so well .","manipulation, type, msg, shuffling"
115,"In CVPR, 2018. 2, 6 Liang-Chieh Chen, George Papandreou, Iasonas Kokkinos, Kevin Murphy, and Alan L Yuille . Deeplab: Semantic image segmentation with deep convolutional nets, atrous convolution, and fully connected cr","atrous, convolution, vision, bridge, transformer"
116,"ICLR, 2021. 1, 2, 3, 6 Jiemin Fang, Yuzhu Sun, Qian Zhang, Yuan Li, Wenyu Liu, and Xinggang Wang. Densely connected search space for more flexible neural architecture search . In CVPR, 2020. 2, 6","mobile, image, vision, recognition, cvpr"
118,"In ICCV, 2021. 1, 2, 3, 4, 5, 6, 7, 11 Zili Liu, Tu Zheng, Guodong Xu, Haifeng Liu . Training-time-friendly network for real-time object detection . In CVPR, 2016. 1, 2, 6 Joseph Redmon, San","network, transformer, vision, design"
119,"ICCV, 2021. 2 Ashish Vaswani, Prajit Ramachandran, Aravind Srinivas, Niki Parmar, Blake Hechtman, and Jonathon Shlens. Scaling local self-attention for parameter efficient visual backbones. In NeurIPS, 2017. 1, 2 We","mobile, image, vision, devices, transformer"
125,"MSG-Transformers in main text do not include depth-wise convolutions to make the designed model a purer Transformer . As in Tab. 8, MSG -Tdwc shows promising performance with low FLOPs .","depth-wise, msg-tdwc, transformer, convolutions"
129,"In Swin, each patch token obtains information from other patch tokens in different windows . In MSG, information from one window is summarized by a MSG token . This manner eases the difficulty of patches obtaining information from others .","information, windows, exchange, msg"
133,"How to manipulate MSG tokens is not limited to the adopted shuffle operation . We study two additional manipulations, namely the 'average' and 'shift'","msg, tokens, shuffle, shifted"
