element_idx,summarized_text,keywords
85,"Table 2 summarizes our results including parameters, FLOPS, latency, and accuracy for ADE20K and Cityscapes. In the bottom part, we focus on performance and report the results of our approach and related works using stronger encoders.","ade20k, cityscapes, lightweight, encoder"
86,"SegFormer-B0 yields 37.4% mIoU using only 3.8M parameters and 8.4G FLOPs, outperforming all other real-time counterparts in terms of parameters, flops, and latency . For instance, compared to DeeplabV3+, SegForm-","miou, application, state-of-the-art, ade20k"
87,SegFormer-B0 runs at 47.6 FPS and yields 71.9% mIoU . This is 17.3 FPS faster and 4.2% better than ICNet .,"cityscape, segformer-b5, segformer-b0, ta, table, cityscapes, 2"
88,"On Cityscapes test set, we follow the common setting and merge the validation images to the train set and report results using Imagenet-1K pre-training . Our method achieves 82.2% mloU outperforming all other methods including SETR . SegFormer provides better details than SETR and smoother","mapillary, validation, pre-training, images, imagenet-1k, vistas"
91,SegFormer-B5 reaches 46.7% mIoU with only 84.7M parameters . The flops on this dataset are similar to those reported for ADE20K .,"setr, coco-stuff, segformer, dataset"
105,"In this paper, we present SegFormer, a simple, clean yet powerful semantic segmentation method . It contains a positional-encoding-free, hierarchical Transformer encoder and a lightweight AllMLP decoder . We hope our method can serve as a solid baseline and motivate further research ","segmentation, semantic, common, segformer, datasets"
113,Pi: the padding size of the overlapping patch embedding in Stage i . Ci: the channel number of the output of Stage 2; Li: the number of encoder layers in Stage 2 .  Ri: the reduction ratio of the Efficient Self-Attention .,"patch, number, overlapping, embedding, head"
119,"In Figure 6, we select some representative images and effective receptive field . SegFormer's ERF learned the pattern of roads, cars, and buildings . Our Transformer encoder has a stronger feature extraction ability than ConvNets.","erf, segformer, of, deeplabv3+"
139,"In CVPR, 2015. 1, 2, 7 Liang-Chieh Chen, George Papandreou, Iasonas Kokkinos, Kevin Murphy, and Alan L Yuille. Deeplab: Semantic image segmentation with deep convolutional nets, atrous convolution, and fully connected C","convolutional, image, segmentation, semantic, deep, cvpr, networks"
141,"Contextnet: Exploring context and detail for semantic segmentation . In CVPR, 2018. Junjun He, Zhongying Deng, Lei Zhou, Guangliang Cheng, Jianping Shi, Zhouchen Lin, Shaohua Tan, and Yunhai Tong. Improving","segmentation, network, attention, semantic"
143,"In ICCVW, 2019. Enze Xie, Wenjia Wang, Wenhai Wang, Peize Sun, Hang Xu, Ding Liang, and Ping Luo. Squeezenas: Fast neural architecture search for faster real-time semantic segmentation . In CVPR","transformer, vision, dynamic, routing"
145,"Transformer is all you need: Multimodal multitask learning with a unified transformer . arXiv, 2021. 3 Md Amirul Islam, Sen Jia, and Neil DB Bruce . Understanding the effective receptive field in deep convolutional neural networks.","multitask, neural, multimodal, axial-attention, learning, networks"
