element_idx,summarized_text,keywords
63,"Multi-scale test We use the default settings of mmsegmentation . Specifically, the input image is first scaled to a uniform size . Sliding window is adopted for test .","test, window, multi-scale, sliding"
71,"SETR variants Three variants of our model with different decoder designs . We denote SETR-Naive-Base as the model utilizing ""T-Large""","setr, setr-pup, setr-, setr-mla, setr-naive-base"
78,Pre-training We use the pre-trained weights provided by ViT or DeiT to initialize all the transformer layers and the input linear projection layer in our model . All the layers without pre-training are randomly initialized.,"input, projection, pre-training, linear, layer, deit"
88,"Table 2 and 3 show ablation studies on different variants of SETR on various training schedules . Pre-training on different data, comparison with Hybrid, compare to FCN with different pre-training . Experiments on ADE20K also follow the single scale test protocol .","validation, 2, table, and, cityscapes, set, 3"
92,"PUP achieves the best performance among all the variants on Cityscapes . The variants using ""T-Large"" are superior to the variant SETRNaive . It suggests that FCN encoder design can be replaced in semantic segmentation . Randomly initialized SETR-PUP only gives","segmentation, semantic, fpn, cityscapes"
98,"To study the power of pre-training and further verify the effectiveness of our proposed approach, we conduct the ablation study on the Pre-training strategy in Table 3 . For fair comparison with the FCN baseline, we pre-train a ResNet-101 on Imagenet-21k with a classification task and then adopt the pre","ablation, task, segmentation, imagenet-21k, pre-training, study, semantic"
100,"Results on ADE20K Table 4 presents our results on the more challenging dataset . Our SETRMLA achieves superior mIoU of 48.64% . When multi-scale inference is adopted, our method achieves a new state of the art .","inference, dilated, fcn, ade20k, multiscale"
102,ResNet-101 backbone achieves a mloU of 45.74% . SETRMLA further improves the performance to 55.83% . Figure 3 gives some qualitative results of SETR and dilated FCN .,"semantical, apcnet, meaningful, attention, maps, regions"
103,"Results on Cityscapes Tables 6 and 7 show the comparative results on the validation and test set respectively . We can see that our model SETR-PUP is superior to FCN baselines, and FCN plus attention based approaches, such as Non-local and CCNet . On this dataset we can now","validation, based, approaches, attention, cityscapes, set"
105,"In this work, we have presented an alternative perspective for semantic segmentation by introducing a sequenceto-sequence prediction framework . In contrast to existing FCN based methods that enlarge the receptive field typically with dilated convolutions and attention modules at the component level, we made ","ade20, segmentation, semantic, modules, attention, models"
111,"Semantic image segmentation with deep convolutional nets, atrous convolution, and fully connected crfs . TPAMI, 2018. 1 Liang-Chieh Chen, George Papandreou, Iasonas Kokkinos, Kevin Murphy, and Alan L. Yuille.","image, segmentation, atrous, convolution, semantic"
112,"In NAACL-HLT, 2019. 2 Henghui Ding, Xudong Jiang, Bing Shuai, Ai Qun Liu, and Gang Wang. Semantic correlation promoted shape-variant context for segmentation . In CVPR, 2019. 2, 3, 6, 8 Junjun He,","image, segmentation, recognition, semantic, axial, attention"
114,"Xia Li, Zhisheng Zhong, Jianlong Wu, Yibo Yang, Zhouchen Lin, and Hong Liu. Expectation-maximization attention networks for semantic segmentation. In CVPR, 2019. 6 Zhaoshuo Li, Xingtong Liu, Francis X Creight","convolutional, segmentation, axial-deeplab, semantic, networks"
115,"In CVPR, 2018. 1, 7 Zhilin Yang, Zihang Dai, Yiming Yang, Jaime Carbonell, Ruslan Salakhutdinov, and Quoc V. Le. XLNet: Generalized autoregressive pretraining for language understanding. In NeurIPS, 2019.","context, segmentation, network, semantic, ade20k, attention, graph, dataset"
