element_idx,summarized_text,keywords
104,"All model variants are trained for 160K iterations with a batch size of 16 . In Table 4, we report validation mloU with multi-scale testing .","upernet, convnext, segmentation, semantic, ade20k"
108,ConvNeXt and Swin Transformer exhibit a more favorable accuracy-FLOPs trade-off due to the local computations . This is true for both classification and other tasks requiring higher-resolution inputs. ConvNet inductive bias is not directly related to the self-attention mechanism in vision Transformers,"swin, convnext, transformer"
110,"In both the pre- and post-ViT eras, the hybrid model combining convolutions and self-attentions has been actively studied . Prior to ViT, the focus was on augmenting a ConvNet to capture long-range dependencies .","hybrid, convolution, models, model"
112,"ConvMixer uses a smaller patch size to achieve the best results . FFT is also a form of convolution, but with a global kernel size and circular padding .","swin, token, mixing, depthwise, convolution, fft"
114,"In the 2020s, vision Transformers began to overtake ConvNets as the favored choice for generic vision backbones . We propose ConvNeXts, a pure KonvNet model that can compete favorably with state-of-the-art hierarchical Vision Transformers across multiple computer vision","convnet, transformers, swin, vision"
126,"ConvNeXt-L pre-trained on ImageNet-1K, where the model accuracy is significantly lower than the EMA accuracy due to overfitting . We select its best EMA model during pre-training as the starting point for fine-tuning .","model, fine-tuning, final, imagenet-1k, weights"
137,"Additional robustness evaluation results for ConvNeXt models are presented in Table 8. We directly test our ImageNet-1K trained/fine-tuned classification models on several robustness benchmark datasets . We report mean corruption error for ImageNet-C, corruption error in ImageNetC, and top-1 Accuracy for","convnext, error, benchmark, corruption, imagenet-1k, robustness"
138,ConvNeXt demonstrates robustness behaviors . We note that these robustness evaluation results were acquired without using any specialized modules or additional fine-tuning procedures .,"convnext, model, robust, state-of-the-art, transformer"
143,"ResNet-200, the initial number of blocks at each stage is . We change it to Swin-B's at the step of changing stage ratio . This drastically reduces the FLOPs, SO at the same time .","resnet-200, swin-"
155,ImageNet models' inference throughputs in Table 1 are benchmarked using a V100 GPU . ConvNeXt is slightly faster in inference than Swin Transformer with similar parameters . We now benchmark them on the more advanced A100 GPUs .,"swin, transformer, imagenet"
160,"ConvNeXt can perform as good as a hierarchical vision Transformer on image classification, object detection, instance and semantic segmentation tasks . Our goal is to offer a broad range of evaluation tasks, but recognize computer vision applications are even more diverse . A case in point is multi-modal learning, in which","multi-modal, convnext, learning"
163,"In the 2020s, research on visual representation learning began to place enormous demands on computing resources . ViT, Swin, and ConvNeXt all perform best with their huge model variants . Investigating those model designs results in an increase in carbon emissions .","convnext, large, visual, dataset, representation"
165,"Irwan Bello, William Fedus, Xianzhi Du, Ekin Dogus Cubuk, Aravind Srinivas, Tsung- Yi Lin, Jonathon Shlens, and Quoc V Le. Attention augmented convolutional networks.","swin, github, transformer"
166,"In CVPR, 2017. Kevin Clark, Minh-Thang Luong, Quoc V Le, and Christopher D Manning . MMSegmentation: Openmmlab semantic segmentation toolbox and benchmark . ICML, 2021. Jia Deng, Wei Dong, Richard Socher,","chang, mmdetection, wei, qi-hang, qi, dai"
167,"Masked autoencoders are scalable vision learners . ArXiv:2111.06377, 2021. Kaiming He, Georgia Gkioxari, Piotr Dollar, and Ross Girshick. Mask R-CNN. In ICCV, 2017. Kaims He, Xi","mobile, visual, backpropagation, recognition, networks"
168,"In NeurIPS, 2019. Ilija Radosavovic, Justin Johnson, Saining Xie, Wan- Yen Lo, and Piotr Dollar. On network design spaces for visual recognition. In CVPR, 2020. Prajit Ramachandran, Niki Parmar, Ashish","network, design, visual, recognition"
169,"In CVPR, 2013. Karen Simonyan and Andrew Zisserman. Very deep convolutional networks for large-scale image recognition . In ICLR, 2015. Aravind Srinivas, Tsung-Yi Lin, Niki Parmar, Jonathon Shlens, Pieter Abbeel,","mobile, visual, vision, recognition, action"
170,"In ECCV, 2018. Tete Xiao, Yingcheng Liu, Bolei Zhou, Yuning Jiang, and Jian Sun . Unified perceptual parsing for scene understanding . In CVPR, 2017. Weijian Xu, Yifan X","a, ade20k, dataset"
